Product Type,Trade Name,Scientific Name,Quantity (kg),Country of Production,Location,Production Date,Supplier Name,Supplier Address,Supplier Email,Trader Name,Trader Address,Trader Email,Nominal Confidence Alerts,High Confidence Alerts,Highest Confidence Alerts,Total Alerts,Overall Confidence %,Deforestation Driver,Land_Cover_Class
palm oil,Palm Oil,,495,Ghana,"[[-1.989049, 9.622653], [-2.00331, 9.453884], [-1.810783, 9.503117], [-1.989049, 9.622653]]",18/03/15,John Doe,123 Maple St,john.doe@example.com,Kwame Akumape,456 Pine St,kwame.akumape@example.com,0,0,0,0,0,,
palm oil,Palm Oil,,393,Ghana,"[[-1.433852, 7.914335], [-1.433852, 7.719872], [-1.159505, 7.719872], [-1.159505, 7.914335], [-1.433852, 7.914335]]",07/04/12,Jane Smith,789 Oak Ave,jane.smith@example.com,Kwame Akumape,457 Pine St,kwame.akumape@example.com,8,2,0,10,40,Shifting agriculture,Grassland
cocoa,Cocoa Beans,,713,Ghana,"[[-0.855909, 9.157263], [-0.855909, 8.975446], [-0.633215, 8.975446], [-0.633215, 9.157263], [-0.855909, 9.157263]]",19/09/23,Bob Johnson,234 Elm Rd,bob.johnson@example.com,Kwame Akumape,458 Pine St,kwame.akumape@example.com,0,0,0,0,0,,
wood,Timber,Tectona grandis,490,Ghana,"[[-0.962153, 8.625939], [-0.897141, 8.366882], [-0.686993, 8.573749], [-0.962153, 8.625939]]",05/03/17,Alice Brown,567 Birch Blvd,alice.brown@example.com,Kwame Akumape,459 Pine St,kwame.akumape@example.com,0,0,0,0,0,,
coffee,Coffee Beans,,630,Ghana,"[[0.047062, 8.143985], [0.047062, 7.961563], [0.217564, 7.961563], [0.217564, 8.143985], [0.047062, 8.143985]]",05/01/11,David Green,345 Spruce Dr,david.green@example.com,Kwame Akumape,461 Pine St,kwame.akumape@example.com,10,0,0,10,33.33333333,Shifting agriculture,"Bare, Grassland"
cattle,Beef,,826,Ghana,"[[-2.132527, 10.329629], [-2.132527, 10.185655], [-1.920827, 10.185655], [-1.920827, 10.329629], [-2.132527, 10.329629]]",10/10/13,Emily Black,678 Fir Ct,emily.black@example.com,Kwame Akumape,462 Pine St,kwame.akumape@example.com,0,0,0,0,0,,
cocoa,Cocoa Beans,,675,Ghana,"[[-1.930172, 6.616057], [-1.930172, 6.446736], [-1.786538, 6.446736], [-1.786538, 6.616057], [-1.930172, 6.616057]]",25/10/22,Frank Wilson,910 Ash Ter,frank.wilson@example.com,Kwame Akumape,463 Pine St,kwame.akumape@example.com,2328,17373,296,19997,63.27949192,Shifting agriculture,"Forest, Agriculture"
cattle,Beef,,250,Ghana,"[[-2.194006, 8.975727], [-2.285305, 8.768264], [-2.06246, 8.794401], [-2.194006, 8.975727]]",19/01/11,Henry Scott,223 Willow Way,henry.scott@example.com,Kwame Akumape,465 Pine St,kwame.akumape@example.com,0,0,0,0,0,,
palm oil,Palm Oil,,687,Ghana,"[[-0.950303, 6.105898], [-0.897726, 5.88269], [-0.727946, 6.131159], [-0.950303, 6.105898]]",08/04/14,Irene Young,334 Poplar Path,irene.young@example.com,Kwame Akumape,466 Pine St,kwame.akumape@example.com,6071,4598,0,10669,47.69894086,"Shifting agriculture, Commodity-driven deforestation","Agriculture, Grassland"
wood,Timber,Tectona grandis,526,Ghana,"[[-1.062587, 10.421276], [-1.062587, 10.290384], [-0.917707, 10.290384], [-0.917707, 10.421276], [-1.062587, 10.421276]]",06/06/19,Kelly Davis,556 Redwood Rte,kelly.davis@example.com,Kwame Akumape,468 Pine St,kwame.akumape@example.com,0,0,0,0,0,,
